City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Provideniya,RU,64.3833,-173.3,33.91,86,100,11.18,overcast clouds
1,Aracati,BR,-4.5617,-37.7697,76.6,78,100,4.59,light rain
2,Iquitos,PE,-3.7481,-73.2472,75.24,100,75,0.0,broken clouds
3,Butaritari,KI,3.0707,172.7902,81.45,72,15,14.14,few clouds
4,Port Alfred,ZA,-33.5906,26.891,63.18,89,4,5.01,clear sky
5,Bluff,NZ,-46.6,168.3333,57.79,73,56,14.83,broken clouds
6,Alta Floresta,BR,-9.8756,-56.0861,72.01,82,26,3.53,scattered clouds
7,Busselton,AU,-33.65,115.3333,68.11,57,100,7.81,overcast clouds
8,Punta Arenas,CL,-53.15,-70.9167,46.51,61,75,20.71,broken clouds
9,Fortuna,US,40.5982,-124.1573,51.66,73,75,10.36,broken clouds
10,Lebu,CL,-37.6167,-73.65,51.55,77,100,7.38,overcast clouds
11,Chandia,IN,23.65,80.7,93.04,37,0,4.47,clear sky
12,Takoradi,GH,4.8845,-1.7554,79.93,87,100,7.92,light rain
13,Mamburao,PH,13.25,120.6667,89.33,54,80,8.95,broken clouds
14,Poum,NC,-20.2333,164.0167,78.64,72,61,17.67,broken clouds
15,Rocha,UY,-34.4833,-54.3333,55.71,93,100,6.04,moderate rain
16,Namibe,AO,-15.1961,12.1522,72.39,65,83,9.4,broken clouds
17,Sur,OM,22.5667,59.5289,85.87,46,2,5.68,clear sky
18,Eirunepe,BR,-6.6603,-69.8736,72.86,99,100,1.23,overcast clouds
19,Barrow,US,71.2906,-156.7887,24.82,74,40,10.36,scattered clouds
20,Kavieng,PG,-2.5744,150.7967,85.24,69,100,14.05,overcast clouds
21,Ulladulla,AU,-35.35,150.4667,63.77,81,100,9.04,overcast clouds
22,Basco,PH,20.4487,121.9702,83.98,72,81,16.91,broken clouds
23,Hobart,AU,-42.8794,147.3294,61.27,67,0,6.91,clear sky
24,Nikolskoye,RU,59.7035,30.7861,48.09,71,73,6.06,broken clouds
25,Mar Del Plata,AR,-38.0023,-57.5575,54.88,78,40,11.99,scattered clouds
26,Albany,US,42.6001,-73.9662,53.89,44,0,4.43,clear sky
27,Vaini,TO,-21.2,-175.2,80.76,65,20,5.75,few clouds
28,Ilulissat,GL,69.2167,-51.1,17.62,62,12,1.14,few clouds
29,Codrington,AU,-38.2667,141.9667,66.79,55,99,1.43,overcast clouds
30,Ust-Nera,RU,64.5667,143.2,33.17,96,100,4.74,light snow
31,Hualmay,PE,-11.0964,-77.6139,64.06,85,0,6.98,clear sky
32,Luanda,AO,-8.8368,13.2343,74.26,88,82,4.72,broken clouds
33,Clyde River,CA,70.4692,-68.5914,11.61,65,0,6.55,clear sky
34,Qaanaaq,GL,77.484,-69.3632,10.33,73,0,7.31,clear sky
35,Sitka,US,57.0531,-135.33,44.49,70,100,11.5,light rain
36,Palmas De Monte Alto,BR,-14.2672,-43.1619,68.79,61,52,4.83,broken clouds
37,Gamba,GA,-2.65,10.0,76.93,93,69,5.64,broken clouds
38,Batagay,RU,67.6333,134.6333,27.23,64,95,6.62,overcast clouds
39,Orlik,RU,52.5178,99.825,34.16,37,97,5.01,overcast clouds
40,Fukue,JP,32.6881,128.8419,66.56,100,75,2.3,light rain
41,Nouadhibou,MR,20.931,-17.0347,64.98,92,85,14.41,overcast clouds
42,Charters Towers,AU,-20.1,146.2667,71.47,80,100,9.73,light rain
43,Walvis Bay,NA,-22.9575,14.5053,65.7,49,35,10.18,scattered clouds
44,Byron Bay,AU,-28.65,153.6167,65.71,79,100,15.05,light rain
45,Cape Town,ZA,-33.9258,18.4232,57.34,94,76,3.0,broken clouds
46,Ancud,CL,-41.8697,-73.8203,45.99,87,100,6.64,overcast clouds
47,Huarmey,PE,-10.0681,-78.1522,64.72,84,1,5.82,clear sky
48,Raduzhnyy,RU,62.0961,77.475,55.8,64,100,10.27,overcast clouds
49,Saskylakh,RU,71.9167,114.0833,25.65,92,100,1.5,light snow
50,Buraydah,SA,26.326,43.975,76.3,16,0,11.79,clear sky
51,Fonte Boa,BR,-2.4959,-66.2662,73.69,98,65,3.04,broken clouds
