City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Aracati,BR,76.6,light rain,-4.5617,-37.7697,Motel Pousada Milleniun - Aracati-CE
2,Iquitos,PE,75.24,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
3,Butaritari,KI,81.45,few clouds,3.0707,172.7902,Isles Sunset Lodge
4,Port Alfred,ZA,63.18,clear sky,-33.5906,26.891,The Halyards Hotel
5,Bluff,NZ,57.79,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
6,Alta Floresta,BR,72.01,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
7,Busselton,AU,68.11,overcast clouds,-33.65,115.3333,Observatory Guest House
8,Punta Arenas,CL,46.51,broken clouds,-53.15,-70.9167,Hotel Hain
9,Fortuna,US,51.66,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
10,Lebu,CL,51.55,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
11,Chandia,IN,93.04,clear sky,23.65,80.7,Smile Hotel & DJ Road Light
12,Takoradi,GH,79.93,light rain,4.8845,-1.7554,Raybow International Hotel
13,Mamburao,PH,89.33,broken clouds,13.25,120.6667,UPPER(tii)
14,Poum,NC,78.64,broken clouds,-20.2333,164.0167,
15,Rocha,UY,55.71,moderate rain,-34.4833,-54.3333,Hotel Arrarte
16,Namibe,AO,72.39,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
17,Sur,OM,85.87,clear sky,22.5667,59.5289,Sur Plaza Hotel
18,Eirunepe,BR,72.86,overcast clouds,-6.6603,-69.8736,Atrás de você
20,Kavieng,PG,85.24,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
21,Ulladulla,AU,63.77,overcast clouds,-35.35,150.4667,Sandpiper Motel
22,Basco,PH,83.98,broken clouds,20.4487,121.9702,Nathaniel's Lodge
23,Hobart,AU,61.27,clear sky,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
24,Nikolskoye,RU,48.09,broken clouds,59.7035,30.7861,Tourist House - Sablino
25,Mar Del Plata,AR,54.88,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
26,Albany,US,53.89,clear sky,42.6001,-73.9662,
27,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
29,Codrington,AU,66.79,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
31,Hualmay,PE,64.06,clear sky,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
32,Luanda,AO,74.26,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
36,Palmas De Monte Alto,BR,68.79,broken clouds,-14.2672,-43.1619,RAVENA AUTO POSTO LTDA
37,Gamba,GA,76.93,broken clouds,-2.65,10.0,
40,Fukue,JP,66.56,light rain,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
41,Nouadhibou,MR,64.98,overcast clouds,20.931,-17.0347,El Medina
42,Charters Towers,AU,71.47,light rain,-20.1,146.2667,Cattleman's Rest Motor Inn
44,Byron Bay,AU,65.71,light rain,-28.65,153.6167,Backpackers Inn
45,Cape Town,ZA,57.34,broken clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
46,Ancud,CL,45.99,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
47,Huarmey,PE,64.72,clear sky,-10.0681,-78.1522,Hotel Miramar
48,Raduzhnyy,RU,55.8,overcast clouds,62.0961,77.475,Gostiny Dvor Evgeniya
50,Buraydah,SA,76.3,clear sky,26.326,43.975,Mövenpick Qassim
51,Fonte Boa,BR,73.69,broken clouds,-2.4959,-66.2662,
52,Mataura,NZ,57.47,few clouds,-46.1927,168.8643,Ellie's Villa
56,Champerico,GT,84.49,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
57,Puerto Ayora,EC,71.55,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
58,Yangambi,CD,69.67,overcast clouds,0.8102,24.4336,
59,Lasa,IT,49.37,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
60,Arraial Do Cabo,BR,72.86,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
62,Oranjestad,AW,80.94,overcast clouds,12.524,-70.027,Divi Village Golf & Beach Resort
63,Hermanus,ZA,59.81,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
64,Rikitea,PF,77.07,few clouds,-23.1203,-134.9692,People ThankYou
66,Bowen,AU,73.27,light rain,-20.0167,148.2333,Castle Motor Lodge Motel
67,Wollongong,AU,69.26,light rain,-34.4333,150.8833,Flinders Motel
69,New Norfolk,AU,60.93,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
70,Kavaratti,IN,85.41,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
71,Vidim,RU,48.13,broken clouds,56.4088,103.1106,
73,Ushuaia,AR,46.06,few clouds,-54.8,-68.3,Albatross Hotel
74,Dongying,CN,65.5,overcast clouds,37.4564,118.4856,Wanda Realm
75,Jimo,CN,68.68,moderate rain,36.3897,120.4622,Thank Inn Chain Hotel Shandong Jimo Bus Station
76,Bredasdorp,ZA,59.99,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
77,Roald,NO,49.33,light rain,62.5833,6.1333,Flem Cabins
78,Newport,GB,55.08,moderate rain,51.5877,-2.9984,ibis budget Newport
79,Rawson,AR,50.76,clear sky,-43.3002,-65.1023,Hosteria Sampedro
80,Avarua,CK,80.85,few clouds,-21.2078,-159.775,Paradise Inn
82,Hithadhoo,MV,84.42,overcast clouds,-0.6,73.0833,Scoop Guest House
83,San Patricio,US,80.83,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
84,Baiao,BR,71.85,moderate rain,-2.7906,-49.6717,Hotel Eurosono
85,Jingcheng,CN,71.01,overcast clouds,32.0142,120.2625,GreenTree Inn Taizhou Jingjiang Jiangping Road Shanghai City Business Hotel
86,Atuona,PF,79.14,scattered clouds,-9.8,-139.0333,Villa Enata
89,Kilindoni,TZ,80.26,clear sky,-7.9139,39.6668,Bustani B&B
90,Jamestown,US,58.05,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
91,Hilo,US,77.29,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
92,Quatre Cocos,MU,77.09,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
94,Itarema,BR,75.81,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
95,Port Elizabeth,ZA,63.32,clear sky,-33.918,25.5701,39 On Nile Guest House
96,Moron,AR,58.75,clear sky,-34.6534,-58.6198,Hotel Morón
97,Mataram,ID,90.41,overcast clouds,-8.5833,116.1167,Hotel Santika Mataram
99,Touros,BR,76.5,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
100,Guerrero Negro,MX,60.08,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
101,Dhidhdhoo,MV,84.29,overcast clouds,6.8833,73.1,Dhidhoo beach
102,Luau,AO,61.66,clear sky,-10.7073,22.2247,Casa- Bernardo Cândido
103,Seminole,US,68.41,clear sky,28.7086,-81.2081,Ono Hot Dog Cart and Catering
104,Candolim,IN,86.0,moderate rain,15.5181,73.7626,Resort Terra Paraiso
105,Sovetskiy,RU,57.79,overcast clouds,61.3614,63.5842,Apartment on Kievskaya 29
107,Diu,IN,85.93,overcast clouds,20.7141,70.9822,Hotel Relax Inn
108,Mahibadhoo,MV,84.52,overcast clouds,3.7833,72.9667,Omadhoo Inn
109,Albanel,CA,53.74,overcast clouds,48.8832,-72.4487,Camping municipal d'Albanel
110,Cidreira,BR,63.54,light rain,-30.1811,-50.2056,Hotel Castelo
111,Kasongo-Lunda,CD,70.61,light rain,-6.4667,16.8167,
113,Mizunami,JP,70.48,moderate rain,35.3667,137.25,Business Mizunami Plaza Hotel
114,Allapalli,IN,88.07,overcast clouds,19.4167,80.0667,"Hotel IK Residency, GUEST HOUSE AC NON AC"
115,Castro,BR,58.53,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
116,Kruisfontein,ZA,58.77,clear sky,-34.0033,24.7314,Oyster Bay House Rental
117,Taltal,CL,59.52,scattered clouds,-25.4,-70.4833,Residencial Karime
118,San Cristobal,VE,68.18,overcast clouds,7.7669,-72.225,Pirineos
119,Hayden,US,51.19,clear sky,47.766,-116.7866,Triple Play Resort Hotel & Suites
120,Teguldet,RU,49.3,clear sky,57.3064,88.1667,
121,Port Lincoln,AU,63.01,clear sky,-34.7333,135.8667,Port Lincoln Hotel
122,Kodiak,US,47.71,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
125,Vila Do Maio,CV,72.39,clear sky,15.1333,-23.2167,Hotel Marilu
126,Tuy Hoa,VN,88.39,few clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
127,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
129,Nuqui,CO,76.91,moderate rain,5.7125,-77.2708,Hotel Nuquimar
130,Vilela,PT,55.04,scattered clouds,41.2251,-7.6034,Quinta do Poeira
