City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Facaeni,RO,2022-05-10 04:30:26,44.5667,27.9,55.76,51,30,2.84
1,Mataura,NZ,2022-05-10 04:30:27,-46.1927,168.8643,52.48,81,44,1.66
2,Cape Town,ZA,2022-05-10 04:28:26,-33.9258,18.4232,53.11,93,0,4.61
3,College,US,2022-05-10 04:30:27,64.8569,-147.8028,37.58,92,75,8.05
4,Rikitea,PF,2022-05-10 04:30:28,-23.1203,-134.9692,76.48,72,21,12.73
5,Bluff,NZ,2022-05-10 04:21:53,-46.6,168.3333,52.81,62,47,1.83
6,Lebu,CL,2022-05-10 04:26:09,-37.6167,-73.65,52.27,91,100,13.82
7,Shahr-E Babak,IR,2022-05-10 04:30:28,30.1165,55.1186,68.38,8,0,6.35
8,Lakatoro,VU,2022-05-10 04:30:29,-16.0999,167.4164,81.57,70,26,13.67
9,Avarua,CK,2022-05-10 04:30:29,-21.2078,-159.775,78.85,83,75,4.61
10,Hermanus,ZA,2022-05-10 04:30:30,-34.4187,19.2345,56.43,52,92,2.91
11,Butaritari,KI,2022-05-10 04:30:30,3.0707,172.7902,81.5,76,41,17.02
12,Ushuaia,AR,2022-05-10 04:30:31,-54.8,-68.3,38.86,75,40,9.22
13,Ponta Do Sol,PT,2022-05-10 04:30:31,32.6667,-17.1,68.63,31,0,5.12
14,Kruisfontein,ZA,2022-05-10 04:30:32,-34.0033,24.7314,51.87,72,83,4.18
15,Dikson,RU,2022-05-10 04:30:32,73.5069,80.5464,22.39,83,14,18.7
16,Punta Arenas,CL,2022-05-10 04:30:33,-53.15,-70.9167,37.51,87,20,11.5
17,Makakilo City,US,2022-05-10 04:30:33,21.3469,-158.0858,79.12,63,75,16.11
18,Puerto Ayora,EC,2022-05-10 04:30:33,-0.7393,-90.3518,71.55,97,24,7.92
19,Tuktoyaktuk,CA,2022-05-10 04:30:34,69.4541,-133.0374,39.2,65,100,5.75
20,Qasigiannguit,GL,2022-05-10 04:30:34,68.8193,-51.1922,21.45,95,94,16.33
21,Coihaique,CL,2022-05-10 04:28:48,-45.5752,-72.0662,44.55,81,40,5.75
22,Hofn,IS,2022-05-10 04:30:35,64.2539,-15.2082,44.22,74,100,14.38
23,Saint-Philippe,RE,2022-05-10 04:30:35,-21.3585,55.7679,76.12,67,4,5.82
24,Iquitos,PE,2022-05-10 04:30:36,-3.7481,-73.2472,77.04,100,75,3.44
25,Sitka,US,2022-05-10 04:30:36,57.0531,-135.33,46.29,66,100,0.0
26,Severo-Kurilsk,RU,2022-05-10 04:30:37,50.6789,156.125,38.01,93,80,10.09
27,Kapaa,US,2022-05-10 04:30:37,22.0752,-159.319,80.58,84,75,13.8
28,Phangnga,TH,2022-05-10 04:30:38,8.4509,98.5298,87.84,60,82,5.53
29,Santo Antonio Do Ica,BR,2022-05-10 04:30:38,-3.1022,-67.9397,73.53,99,59,2.1
30,Bredasdorp,ZA,2022-05-10 04:30:39,-34.5322,20.0403,50.92,81,97,3.15
31,Tomakomai,JP,2022-05-10 04:30:39,42.6369,141.6033,74.55,42,0,12.66
